                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6673,                 3.3626,                 2.5132,                0.26794,                0.21201,                0.10408,                0.02224,                 3.0609,                 3.2539,                 3.3472,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 2.5337,                 3.3639,                 2.5281,                0.07203,                0.23864,                0.11079,                0.02387,                 3.0608,                 3.3238,                 3.3859,             5.5367e-05,             5.5367e-05,             5.5367e-05
                      3,                 2.4838,                 3.2874,                 2.4329,                0.61328,                0.30505,                0.27004,                0.10163,                  1.829,                 4.0132,                 1.4844,             8.8293e-05,             8.8293e-05,             8.8293e-05
                      4,                  1.591,                 2.3789,                 1.3664,                0.48128,                0.65721,                0.49037,                0.18558,                 1.8282,                 3.2583,                 1.4791,               0.000121,               0.000121,               0.000121
                      5,                 1.3887,                 1.6832,                 1.2266,                    0.4,                0.86755,                0.61498,                0.24634,                 1.9415,                 3.3254,                  1.601,             0.00015349,             0.00015349,             0.00015349
                      6,                 1.2556,                 1.4032,                 1.1801,                 0.5554,                0.89867,                0.83459,                0.36174,                 1.9192,                 2.4975,                 1.6756,             0.00018575,             0.00018575,             0.00018575
                      7,                 1.3135,                 1.3349,                 1.1964,                0.60576,                0.87157,                0.91845,                0.43696,                 1.7756,                 2.7768,                 1.5488,              0.0002178,              0.0002178,              0.0002178
                      8,                  1.264,                 1.0529,                 1.1959,                0.75937,                0.88082,                0.92165,                0.43061,                  1.883,                 2.2166,                 1.7755,             0.00024963,             0.00024963,             0.00024963
                      9,                 1.1923,                 1.0181,                 1.1401,                0.74172,                0.80187,                0.90436,                0.52292,                 1.6164,                 1.6091,                 1.5642,             0.00028123,             0.00028123,             0.00028123
                     10,                 1.3094,                 1.0536,                 1.1767,                0.70007,                0.71606,                0.85204,                0.48911,                  1.634,                 1.9747,                 1.5263,             0.00031262,             0.00031262,             0.00031262
                     11,                 1.2785,                0.96367,                 1.1938,                 0.9043,                0.92533,                0.97451,                0.58413,                 1.5923,                 1.3437,                 1.4104,             0.00034379,             0.00034379,             0.00034379
                     12,                 1.2261,                0.89018,                 1.1702,                0.64168,                0.88381,                 0.8459,                0.45963,                 1.7877,                 1.9508,                  1.609,             0.00037473,             0.00037473,             0.00037473
                     13,                 1.2828,                0.92764,                 1.1806,                0.61351,                0.95879,                0.75202,                0.42691,                 1.6015,                 3.0789,                 1.4363,             0.00040546,             0.00040546,             0.00040546
                     14,                 1.2342,                0.82045,                 1.1513,                0.77591,                0.89937,                0.80693,                0.51257,                  1.323,                 2.7309,                 1.2108,             0.00043597,             0.00043597,             0.00043597
                     15,                 1.3728,                0.89121,                 1.1971,                0.80761,                0.99847,                0.94033,                0.64129,                 1.1997,                 2.2844,                 1.1446,             0.00046626,             0.00046626,             0.00046626
                     16,                 1.2436,                0.83036,                 1.1463,                0.76117,                0.93825,                 0.8686,                 0.5367,                 1.4146,                 2.4446,                 1.2912,             0.00049632,             0.00049632,             0.00049632
                     17,                 1.2884,                0.89194,                 1.2213,                0.77387,                0.77823,                0.79958,                0.47794,                 1.4637,                 2.7443,                 1.3083,             0.00052617,             0.00052617,             0.00052617
                     18,                 1.3406,                0.86925,                 1.1504,                0.67407,                0.89146,                 0.9185,                0.54372,                 1.4503,                 1.9074,                 1.3069,              0.0005558,              0.0005558,              0.0005558
                     19,                 1.2585,                0.81325,                 1.2001,                0.80576,                0.95478,                0.86364,                0.52566,                 1.4256,                 1.6168,                 1.2792,              0.0005852,              0.0005852,              0.0005852
                     20,                 1.2267,                0.83997,                 1.1411,                0.90169,                0.88249,                0.96679,                0.60977,                 1.3054,                 1.2233,                  1.256,             0.00061439,             0.00061439,             0.00061439
                     21,                 1.2218,                0.68911,                 1.1412,                0.76301,                0.82534,                0.82719,                0.49181,                  1.446,                 1.6915,                 1.3016,             0.00064336,             0.00064336,             0.00064336
                     22,                 1.1591,                0.64422,                  1.099,                0.80001,                0.78424,                0.87933,                0.54249,                 1.3844,                 1.4719,                 1.2534,             0.00067211,             0.00067211,             0.00067211
                     23,                 1.2348,                0.77463,                   1.15,                0.59436,                0.74435,                0.69329,                0.36423,                 1.7748,                 2.0145,                 1.6163,             0.00070063,             0.00070063,             0.00070063
                     24,                 1.1725,                0.69321,                  1.136,                0.79113,                 0.6882,                0.76203,                0.43776,                 1.6009,                 1.4099,                 1.5606,             0.00072894,             0.00072894,             0.00072894
                     25,                 1.1664,                0.68294,                 1.0718,                0.62816,                0.68592,                0.76369,                 0.4035,                 1.7641,                 1.9087,                 1.8368,             0.00075703,             0.00075703,             0.00075703
                     26,                 1.1916,                0.72754,                  1.075,                0.73753,                0.64007,                0.71825,                0.38365,                 1.8104,                 1.5522,                 1.7681,             0.00078489,             0.00078489,             0.00078489
                     27,                  1.202,                0.66431,                 1.1098,                0.65339,                0.75705,                0.72808,                0.41646,                 1.5924,                 2.1451,                 1.4953,             0.00081254,             0.00081254,             0.00081254
                     28,                 1.3083,                0.71673,                 1.1503,                0.61354,                0.76107,                0.69654,                0.34944,                 1.8008,                 3.6183,                 1.7915,             0.00083997,             0.00083997,             0.00083997
                     29,                 1.1372,                0.68903,                 1.0607,                0.61354,                0.76107,                0.69654,                0.34944,                 1.8008,                 3.6183,                 1.7915,             0.00086718,             0.00086718,             0.00086718
                     30,                 1.1642,                0.71364,                  1.088,                0.67514,                0.61741,                0.61107,                0.26793,                 2.0667,                 4.5922,                   2.24,             0.00089416,             0.00089416,             0.00089416
                     31,                 1.2577,                0.75266,                 1.1522,                0.63975,                0.60256,                0.53372,                0.30283,                 1.7168,                 6.2815,                 1.8318,             0.00092093,             0.00092093,             0.00092093
                     32,                 1.2404,                0.78172,                 1.1999,                0.62948,                0.64891,                 0.6454,                0.44778,                 1.1515,                 5.4703,                 1.2188,             0.00094748,             0.00094748,             0.00094748
                     33,                 1.4545,                0.89129,                 1.1875,                0.62948,                0.64891,                 0.6454,                0.44778,                 1.1515,                 5.4703,                 1.2188,              0.0009738,              0.0009738,              0.0009738
                     34,                  1.409,                0.92283,                 1.2288,                0.72518,                0.57287,                0.66606,                0.46857,                 1.1045,                 5.3465,                 1.1757,             0.00099001,             0.00099001,             0.00099001
                     35,                  1.441,                0.87071,                 1.2559,                0.78241,                0.75106,                0.89956,                0.58321,                 1.3572,                 2.4281,                 1.3107,             0.00099001,             0.00099001,             0.00099001
                     36,                  1.221,                0.79733,                 1.1371,                0.67397,                0.77072,                0.86994,                0.40277,                 1.8427,                 1.9097,                 1.6674,             0.00098635,             0.00098635,             0.00098635
                     37,                 1.3299,                 0.8832,                 1.2084,                0.67397,                0.77072,                0.86994,                0.40277,                 1.8427,                 1.9097,                 1.6674,             0.00098268,             0.00098268,             0.00098268
                     38,                 1.3629,                0.86982,                    1.2,                0.69379,                0.65696,                0.73258,                0.30663,                 1.9801,                 2.4737,                 1.8114,             0.00097901,             0.00097901,             0.00097901
                     39,                 1.3703,                0.85733,                 1.2249,                0.51399,                0.69191,                0.65577,                0.36413,                 1.6596,                 2.9853,                 1.5714,             0.00097535,             0.00097535,             0.00097535
